customer_id,name,email,region,signup_date,segment
57,Company_57,contact57@company57.com,Southeast,2024-05-30,mid-market
58,Company_58,contact58@company58.com,Midwest,2024-05-05,small-biz
59,Company_59,contact59@company59.com,Midwest,2023-07-06,enterprise
60,Company_60,contact60@company60.com,West,2024-10-25,enterprise
61,Company_61,contact61@company61.com,Northeast,2024-06-17,mid-market
62,Company_62,contact62@company62.com,Southeast,2024-04-13,mid-market
63,Company_63,contact63@company63.com,Northeast,2023-04-13,enterprise
64,Company_64,contact64@company64.com,Southeast,2023-08-30,mid-market
65,Company_65,contact65@company65.com,Southwest,2023-01-10,small-biz
66,Company_66,contact66@company66.com,West,2024-11-02,small-biz
67,Company_67,contact67@company67.com,Southeast,2023-05-13,enterprise
68,Company_68,contact68@company68.com,West,2024-05-16,mid-market
69,Company_69,contact69@company69.com,Northeast,2024-09-27,mid-market
70,Company_70,contact70@company70.com,Northeast,2023-09-07,small-biz
71,Company_71,contact71@company71.com,West,2024-01-26,enterprise
72,Company_72,contact72@company72.com,Northeast,2023-05-19,small-biz
73,Company_73,contact73@company73.com,Midwest,2024-11-14,small-biz
74,Company_74,contact74@company74.com,Southeast,2024-08-20,enterprise
75,Company_75,contact75@company75.com,Midwest,2023-01-01,mid-market
76,Company_76,contact76@company76.com,Midwest,2023-06-20,small-biz
77,Company_77,contact77@company77.com,Southeast,2024-06-03,small-biz
78,Company_78,contact78@company78.com,Southeast,2024-10-14,enterprise
79,Company_79,contact79@company79.com,Southeast,2024-09-03,mid-market
80,Company_80,contact80@company80.com,West,2023-06-21,enterprise
81,Company_81,contact81@company81.com,Southeast,2024-09-15,enterprise
82,Company_82,contact82@company82.com,Northeast,2024-05-12,enterprise
83,Company_83,contact83@company83.com,Southeast,2023-12-19,enterprise
84,Company_84,contact84@company84.com,Northeast,2024-08-28,small-biz
85,Company_85,contact85@company85.com,Northeast,2023-05-22,small-biz
86,Company_86,contact86@company86.com,Midwest,2023-01-23,enterprise
87,Company_87,contact87@company87.com,Southwest,2023-08-31,mid-market
88,Company_88,contact88@company88.com,West,2024-01-12,enterprise
89,Company_89,contact89@company89.com,West,2024-09-06,small-biz
90,Company_90,contact90@company90.com,Southwest,2023-11-13,enterprise
91,Company_91,contact91@company91.com,West,2024-11-12,small-biz
92,Company_92,contact92@company92.com,Northeast,2024-01-06,enterprise
93,Company_93,contact93@company93.com,Southwest,2024-06-21,small-biz
94,Company_94,contact94@company94.com,Southeast,2023-03-14,mid-market
95,Company_95,contact95@company95.com,Southeast,2023-05-19,enterprise
96,Company_96,contact96@company96.com,Southeast,2024-04-03,small-biz
97,Company_97,contact97@company97.com,West,2024-04-24,mid-market
98,Company_98,contact98@company98.com,Midwest,2023-07-20,small-biz
99,Company_99,contact99@company99.com,Southeast,2023-01-13,mid-market
100,Company_100,contact100@company100.com,Southeast,2024-04-14,enterprise
101,Company_101,contact101@company101.com,Southeast,2024-05-11,small-biz
102,Company_102,contact102@company102.com,Southeast,2024-05-29,enterprise
103,Company_103,contact103@company103.com,Southeast,2024-02-01,enterprise
104,Company_104,contact104@company104.com,Midwest,2024-01-26,small-biz
105,Company_105,contact105@company105.com,Northeast,2024-10-14,enterprise
106,Company_106,contact106@company106.com,Southeast,2024-01-25,small-biz
107,Company_107,contact107@company107.com,Southeast,2024-04-05,enterprise
108,Company_108,contact108@company108.com,Midwest,2023-06-28,enterprise
109,Company_109,contact109@company109.com,Southeast,2024-06-22,mid-market
110,Company_110,contact110@company110.com,Midwest,2024-10-02,small-biz
111,Company_111,contact111@company111.com,Southeast,2023-04-05,mid-market
112,Company_112,contact112@company112.com,Northeast,2024-06-01,mid-market
113,Company_113,contact113@company113.com,Southeast,2023-01-20,mid-market
114,Company_114,contact114@company114.com,Northeast,2023-11-22,small-biz
115,Company_115,contact115@company115.com,Midwest,2024-04-16,small-biz
116,Company_116,contact116@company116.com,Southeast,2024-05-12,small-biz
117,Company_117,contact117@company117.com,Midwest,2024-04-05,enterprise
118,Company_118,contact118@company118.com,Southwest,2024-01-27,small-biz
119,Company_119,contact119@company119.com,Southwest,2023-01-04,mid-market
120,Company_120,contact120@company120.com,Southeast,2024-05-26,small-biz
121,Company_121,contact121@company121.com,West,2024-03-26,enterprise
122,Company_122,contact122@company122.com,West,2024-04-24,enterprise
123,Company_123,contact123@company123.com,Northeast,2024-09-03,small-biz
124,Company_124,contact124@company124.com,Southwest,2023-12-18,enterprise
125,Company_125,contact125@company125.com,Southeast,2024-09-30,enterprise
126,Company_126,contact126@company126.com,Southwest,2024-08-21,mid-market
127,Company_127,contact127@company127.com,Southwest,2024-08-14,small-biz
128,Company_128,contact128@company128.com,Midwest,2023-08-24,small-biz
129,Company_129,contact129@company129.com,Northeast,2024-05-01,mid-market
130,Company_130,contact130@company130.com,Midwest,2024-03-20,small-biz
131,Company_131,contact131@company131.com,Northeast,2023-10-18,small-biz
132,Company_132,contact132@company132.com,Northeast,2024-08-18,mid-market
133,Company_133,contact133@company133.com,Midwest,2023-10-25,enterprise
134,Company_134,contact134@company134.com,West,2023-03-30,small-biz
135,Company_135,contact135@company135.com,Midwest,2023-04-28,enterprise
136,Company_136,contact136@company136.com,West,2023-12-11,small-biz
137,Company_137,contact137@company137.com,Midwest,2024-09-06,mid-market
138,Company_138,contact138@company138.com,Southwest,2023-08-30,enterprise
139,Company_139,contact139@company139.com,West,2024-11-11,mid-market
140,Company_140,contact140@company140.com,Southeast,2023-03-27,small-biz
141,Company_141,contact141@company141.com,Southeast,2023-03-14,enterprise
142,Company_142,contact142@company142.com,West,2023-06-18,enterprise
143,Company_143,contact143@company143.com,West,2023-10-16,mid-market
144,Company_144,contact144@company144.com,Northeast,2023-06-13,small-biz
145,Company_145,contact145@company145.com,West,2024-11-28,mid-market
146,Company_146,contact146@company146.com,Southwest,2023-10-15,enterprise
147,Company_147,contact147@company147.com,West,2023-01-26,small-biz
148,Company_148,contact148@company148.com,Southwest,2024-10-04,enterprise
149,Company_149,contact149@company149.com,Midwest,2023-04-27,small-biz
150,Company_150,contact150@company150.com,Southeast,2024-03-31,enterprise
151,Company_151,contact151@company151.com,West,2023-01-09,small-biz
152,Company_152,contact152@company152.com,Midwest,2024-07-06,mid-market
153,Company_153,contact153@company153.com,Midwest,2023-03-18,mid-market
154,Company_154,contact154@company154.com,Northeast,2023-09-12,small-biz
155,Company_155,contact155@company155.com,West,2023-03-16,small-biz
156,Company_156,contact156@company156.com,Midwest,2023-05-15,small-biz
157,Company_157,contact157@company157.com,West,2023-05-12,mid-market
158,Company_158,contact158@company158.com,Southeast,2023-09-10,enterprise
159,Company_159,contact159@company159.com,Northeast,2023-02-12,enterprise
160,Company_160,contact160@company160.com,Southeast,2024-01-06,small-biz
161,Company_161,contact161@company161.com,Southwest,2023-12-29,small-biz
162,Company_162,contact162@company162.com,Southwest,2024-11-25,mid-market
163,Company_163,contact163@company163.com,West,2023-04-13,enterprise
164,Company_164,contact164@company164.com,Southwest,2023-11-09,enterprise
165,Company_165,contact165@company165.com,Midwest,2023-12-09,mid-market
166,Company_166,contact166@company166.com,West,2023-09-07,enterprise
167,Company_167,contact167@company167.com,Northeast,2023-06-17,small-biz
168,Company_168,contact168@company168.com,West,2023-10-26,mid-market
169,Company_169,contact169@company169.com,West,2024-06-01,mid-market
170,Company_170,contact170@company170.com,Southwest,2024-02-21,enterprise
171,Company_171,contact171@company171.com,Northeast,2023-07-29,mid-market
172,Company_172,contact172@company172.com,West,2024-07-20,mid-market
173,Company_173,contact173@company173.com,Southeast,2023-01-27,enterprise
174,Company_174,contact174@company174.com,Southeast,2023-06-19,enterprise
175,Company_175,contact175@company175.com,Northeast,2024-10-25,enterprise
176,Company_176,contact176@company176.com,Midwest,2023-03-10,mid-market
177,Company_177,contact177@company177.com,West,2024-07-27,small-biz
178,Company_178,contact178@company178.com,West,2023-05-11,mid-market
179,Company_179,contact179@company179.com,West,2024-03-03,small-biz
180,Company_180,contact180@company180.com,Midwest,2024-10-12,mid-market
181,Company_181,contact181@company181.com,Southeast,2023-11-19,enterprise
182,Company_182,contact182@company182.com,Midwest,2024-01-25,enterprise
183,Company_183,contact183@company183.com,Southwest,2023-10-23,mid-market
184,Company_184,contact184@company184.com,Southwest,2024-05-03,small-biz
185,Company_185,contact185@company185.com,Southwest,2024-06-30,mid-market
186,Company_186,contact186@company186.com,Southwest,2024-08-22,small-biz
187,Company_187,contact187@company187.com,Southeast,2024-08-09,enterprise
188,Company_188,contact188@company188.com,Southeast,2024-09-19,mid-market
189,Company_189,contact189@company189.com,Midwest,2024-07-17,small-biz
190,Company_190,contact190@company190.com,Southwest,2024-09-20,small-biz
191,Company_191,contact191@company191.com,Midwest,2023-12-03,small-biz
192,Company_192,contact192@company192.com,Northeast,2023-05-01,enterprise
193,Company_193,contact193@company193.com,Southeast,2023-01-28,mid-market
194,Company_194,contact194@company194.com,Midwest,2023-12-31,enterprise
195,Company_195,contact195@company195.com,Midwest,2023-03-19,enterprise
196,Company_196,contact196@company196.com,Southwest,2023-07-07,mid-market
197,Company_197,contact197@company197.com,Midwest,2024-01-15,mid-market
198,Company_198,contact198@company198.com,Midwest,2024-07-24,mid-market
199,Company_199,contact199@company199.com,Southeast,2023-09-27,small-biz
200,Company_200,contact200@company200.com,Southeast,2024-08-15,mid-market
